location,text,hashtags
Canada,"More than 10,500 dead of #coronavirus throughout #Iran 
@WHO @WHOEMRO1
@PattyHajdu
@JavaidRehma @UNHumanRights https://t.co/IO66Qg2kRI","[{'text': 'coronavirus', 'indices': [44, 56]}, {'text': 'Iran', 'indices': [68, 73]}]"
"Maui,HI","@gary_kline @betsyffj Even though that is funny, I️ wish Danny good health for no other reason than to stay alive!  ❤️Love you, Danny!                      #StayHome #StayHomeSaveLives","[{'text': 'StayHome', 'indices': [156, 165]}, {'text': 'StayHomeSaveLives', 'indices': [166, 184]}]"
southampton soxx xxx,Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
County Cork,"Covid 19 is NOT just a cold! 10 days in, I can't do anything without getting out of breath. I feel like an old man with severe asthma &amp; that's despite being over the worst. If you don't social distance, you are going to kill people with this thing. Take. It. Fucking. Seriously!",[]
Newcastle/London,Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
,Harvey Weinstein being diagnosed with #coronavirus is not as shocking  as the fact that he was given early access to a test that plenty non-convicted-rapists are begging for.,"[{'text': 'coronavirus', 'indices': [56, 68]}]"
,"BREAKING: 

293 new cases of #coronavirus and 7 new deaths in Turkey. 

Total reaches to 1,529 confirmed cases and 37 deaths","[{'text': 'coronavirus', 'indices': [49, 61]}]"
@County19,UPDATE: Uganda confirms 8 new cases of COVID-19 bringing the total number in the country to 9. https://t.co/wbOdGDGzcW,[]
,"2)A study done in France on 30 confirmed cases of Covid-19, showed at day 5 of treatment, with both drugs, testing samples were at zero. 👇",[]
,"Maricopa/Pima Cty: if you have coronavirus symptoms and think you may need a test, call 844-549-1851. 

Banner Health is screening over the phone &amp; sending ppl to their drive thru testing sites. 

The phone line is staffed 7am-6pm M-Th &amp; 7am-5pm Fri. https://t.co/HglkKzeira",[]
,Watch below for clear guidance from @NicolaSturgeon @ScotGovFM on the very limited circumstances in which we may leave our homes for the next 3 weeks. #coronavirus #StayHomeSaveLives https://t.co/QZ5259GtpB,[]
"Kampala, Uganda","I know the government of #Uganda is doing all it can to fight the #coronavirus. But I urge @KagutaMuseveni to put in place a full country lockdown for a period of time like is happening all over the world, before it really becomes too late. #COVID19UG","[{'text': 'Uganda', 'indices': [43, 50]}, {'text': 'coronavirus', 'indices': [84, 96]}]"
,"PM @BorisJohnson gives an important update on #coronavirus 
 
#StayHomeSaveLives



https://t.co/zqatkgYPwF","[{'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
,A loss of smell is emerging as a symptom of #COVID-19. Might be due to the silencing of a gene called sonic hedgehog and a loss of signaling factors that cause stem cells to divide in the tongue and nose. Alpha-lipoic acid seems to help. Here's the paper:👃https://t.co/4HvNYYb92Q,"[{'text': 'COVID', 'indices': [64, 70]}]"
Moga,When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe https://t.co/FFzJ1LE3N1,[]
"Los Angeles, CA","Our gofundme for Las Vegas sex workers is live. PLEASE SHARE AND DONATE if you can!! The tourism industry in LV has come to a screeching halt due to #COVID19 and sex workers are in severe precarity—help us create a mutual aid fund/some sort of safety net:
https://t.co/9Zd6L2wc5B",[]
Nigeria,"This is Dubai. Nigeria, see your mate

#COVID19NIGERIA #COVIDー19 #COVIDIOTS #staysafe https://t.co/RxgXquucIL","[{'text': 'COVID19NIGERIA', 'indices': [60, 75]}, {'text': 'COVIDー19', 'indices': [76, 85]}, {'text': 'COVIDIOTS', 'indices': [86, 96]}, {'text': 'staysafe', 'indices': [97, 106]}]"
,Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
,@newscomauHQ Losing your sense of smell could be one of the first signs you have COVID-19,[]
Tx,President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #Coronavirus. This sends a strong message – we will not let those hoarding vital supplies &amp; price gougers to harm the health of America in this hour of need. https://t.co/eksxQOVKNM,[]
"Westminster, UK","Regarding enforcement, govt says:

-Every citizen is instructed to comply with these new measures.
-They'll ensure the police &amp; other relevant authorities have the powers to enforce them, including through fines and dispersing gatherings where people do not comply.

#Coronavirus","[{'text': 'Coronavirus', 'indices': [271, 283]}]"
"Las Vegas, NV",Watch @BTS_twt share a message of hope amidst the global #coronavirus pandemic https://t.co/X4qiY6Ildo,"[{'text': 'coronavirus', 'indices': [72, 84]}]"
,Reporter who has been at the White House 4 times recently is suspected to have COVID-19 coronavirus: report https://t.co/z7N1ebBbj9,[]
México,"A Chicago aquarium closed its doors for two weeks due to the COVID-19 pandemic—so these Rockhopper penguins got to go check out the other exhibits!

Although the aquarium is closed to the public, care staff are onsite for the animals. https://t.co/SiHjZ9cBcR https://t.co/5w0WAEMr10",[]
Sacramento,"California tax questions re: #COVID19 impact? 
Property tax = your county government https://t.co/zvZYIRupNE 
Personal income tax = https://t.co/lH7cMABvYB
Corporation tax =  https://t.co/lH7cMABvYB
Sales &amp; use tax = https://t.co/sLaSfxTyPw","[{'text': 'COVID19', 'indices': [47, 55]}]"
The Kun'delar,"@miffythegamer @paddydocherty https://t.co/JKBGyFT2J2
A youth who spat in the face of Police Officers in France has been sent to prison for 8 months",[]
"Montgomery, AL and Atlanta, GA","9...

H. When GOPrs say this corporate welfare would help them pay workers (bullshit..they NEVER use government cash for that) what they are saying is they expect working class people to ignore instructions to limit spread of COVID-19 by going to work and helping stock prices...",[]
"west new york,n.j.","BREAKING: Gov Cuomo: “We have to plan the pivot back to economic functionality” Says we may not have to isolate everyone. Could allow the healthy, less vulnerable to work. #COVID19 survival rate is 98%. NY Forward plan to look into restarting economic engine.",[]
Centrist,"PRESS RELEASE: https://t.co/mdEmCjBuRh

Protecting first responders and healthcare workers is critical.. To protect those on the frontlines of #COVID19, we’re going to start production of protective face masks to donate across the United States, Canada and Mexico. #InItTogether https://t.co/cgxJ2wVx0f",[]
,"UPDATE: Here is a well-equipped Isolation and Treatment Centre at the Asaba Specialist Hospital in Asaba, Delta State. 

#COVID19 
#COVIDー19 
#COVID19NIGERIA https://t.co/EzEJsPuYod",[]
,"and water treatment and sewage systems, etc... Not only that, as the hospitals filled up and horror stories emerged, you'd have tons of deaths from things other than Covid-19 that couldn't get treated. This would make ppl more scared of getting the bug and lead to further retreat",[]
work,Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
"London, England","Just had a lovely veg box delivered from a greengrocer, who until a week ago was serving top London restaurants. Delivered - responsibly - to the door. Check them out... This is the £30 box. #StayHome https://t.co/v0ZtjsXGAg",[]
,#DerelictionOfDuty Trump Won’t Order Vital #Coronavirus Supplies Because Corporate CEOs Asked Him Not To- But @SenateGOP want to bail them out 😳#1000xworse #MoscowMitchSlushFund https://t.co/wXmr4nBr75,"[{'text': 'DerelictionOfDuty', 'indices': [15, 33]}, {'text': 'Coronavirus', 'indices': [58, 70]}]"
𝔼𝕣𝕠𝕕𝕒,Just been grounded for 3 weeks? Sound fun doesn’t it #lockdownuk #coronavirus #covid19,"[{'text': 'lockdownuk', 'indices': [53, 64]}, {'text': 'coronavirus', 'indices': [65, 77]}, {'text': 'covid19', 'indices': [78, 86]}]"
,"We break down four drugs being tested as potential treatments for #COVID19
https://t.co/KsmwDoLPKH","[{'text': 'COVID19', 'indices': [85, 93]}]"
,".@POTUS signed the bipartisan Families First Coronavirus Response Act last night to support Americans affected by COVID-19. The bill includes paid family and sick leave for employees of small businesses, and dollar for dollar reimbursement for the businesses providing the leave.",[]
,an entire city in Morocco climbed to the roof of their homes while in lockdown to recite the Quran and pray to God to save us from Coronavirus Covid-19 https://t.co/dtebEySssd,[]
Montreal / Canada,"The #COVID19 pandemic is accelerating. It took 67 days from the 1st reported case to reach the first 100K cases, 11 days for the second 100K cases &amp; just 4 days for the third 100K cases.
These numbers matter, these are people, whose lives &amp; families have been turned upside down. https://t.co/VydhLBNq36","[{'text': 'COVID19', 'indices': [18, 26]}]"
"Austin, Texas","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Gillingham, Dorset",Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
Cape Town South Africa,"A leader inspires a shared vision! The country is behind you Mr President. You have taken decisive action and we salute you. We will hopefully overcome this #Covid19 virus. Nkosi Sikelel' iAfrika @PresidencyZA @CyrilRamaphosa 
#Lockdown https://t.co/CRL601SKsu",[]
,"The New People's Army, along with revolutionary organizations and committees have long been conducting medical and public health services to ensure health and sanitation of poor peasants in the countryside. #NPA51 #HukbongMapagkalinga #COVID19 https://t.co/SRO3A6eUxf",[]
"Lagos, Nigeria","@DenolaGrey @DenolaGrey I have started a voluntary quest of revamping NCDC designs and visual communications!
This is my little way of supporting @NCDCgov @NigeriaGov @NGRPresident in this pandemic outbreak!

Design by @isaaczara_ 

#COVID19NIGERIA #COVIDIOTS #COVIDー19 #COVID19 https://t.co/QNjcZnZjCG",[]
,"We’re offically on Lockdown in the UK 🇬🇧 
#stayhome #StayHomeSaveLives #coronavirusuk https://t.co/kZxJDNKIV4","[{'text': 'stayhome', 'indices': [60, 69]}, {'text': 'StayHomeSaveLives', 'indices': [70, 88]}, {'text': 'coronavirusuk', 'indices': [89, 103]}]"
"California, USA","Can I still hike under CA's stay at home order?
 
Californians can exercise outside as long as they continue to practice social distancing of 6 feet. This means avoiding crowded trails &amp; parking lots.
 
For more frequently asked ❓'s and #COVID19 info 👇🏾https://t.co/3q037E0KV4",[]
"San Angelo, Texas",President Trump and the White House coronavirus task force are expected to give a briefing Monday at approximately 5:30 p.m. ET on the government’s response to the COVID-19 pandemic. https://t.co/m9irJWVmgM,[]
NYC (formerly Mass.),".@_EMJohnston, @kenneygm, &amp; D. Gonzales find many people with employer-sponsored insurance could face high out-of-pocket costs for COVID-19 treatment. https://t.co/zrijNzVFpC",[]
"Palo Alto, CA","“The overwhelming response was, ‘We are here to support you.'"" Despite the cancellation of @smuinballet's gala, fans stood by the company in its time of need. Find out how some of San Francisco's arts groups are mitigating #covid_19 in the @sfchronicle: https://t.co/8upEL4gEaW","[{'text': 'covid_19', 'indices': [223, 232]}]"
"Brooklyn, NY",I'm at City Hall with updates on New York City's response to COVID-19. https://t.co/JdfKZuZgyc,[]
"Doylestown, PA",@TomFitton: We Can't Shut Down America over #CoronaVirus! https://t.co/gGwR5QwWYq,"[{'text': 'CoronaVirus', 'indices': [63, 75]}]"
,"The Louisiana Dept of Education has opened the Child Care Assistance Program to help the families of workers deemed critical during the virus response such as medical professionals, first responders, agriculture, public works, and the energy industry.
https://t.co/jNWbmoLh9X",[]
United States,"Reminder- this is NOT a hurricane!🚫

#StayAtHome #StopTheSpread #SocialDistancing #InThisTogether #DoNotHoard #COVID19 #WashYourHands #Florida #COVIDActNow #BeKind https://t.co/nYU1D5yMl4","[{'text': 'StayAtHome', 'indices': [58, 69]}, {'text': 'StopTheSpread', 'indices': [70, 84]}, {'text': 'SocialDistancing', 'indices': [85, 102]}, {'text': 'InThisTogether', 'indices': [103, 118]}, {'text': 'DoNotHoard', 'indices': [119, 130]}, {'text': 'COVID19', 'indices': [131, 139]}]"
Gym ,"#BREAKING: All hiking trails in Los Angeles County will close in order to reinforce the need for social distancing as the county combats the #coronavirus, officials announced Monday. https://t.co/SbTqYpO5uG","[{'text': 'BREAKING', 'indices': [11, 20]}]"
Bulawayo,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
Fying too close to the sun.,Texas Southern staff member tests positive for COVID-19 https://t.co/kFZfg5LGnL,[]
Athlone,"On Saturday, ill French #COVID19 patients were taken to be treated in three German Federal States, Luxembourg &amp; Switzerland.

Today, another German federal state, Saxony offered to take some Italian patients 🇩🇪 🇮🇹

This is 🇪🇺 solidarity 💪 https://t.co/bdhM6TVrLp","[{'text': 'COVID19', 'indices': [45, 53]}]"
"England, United Kingdom","You’ve got the prime minister saying travel to and from work if it’s impossible to work from home... 
then you got sky news saying it’s only for essential work...

It’s not clear enough #covid19 #coronavirusuk #BorisJohnson","[{'text': 'covid19', 'indices': [186, 194]}, {'text': 'coronavirusuk', 'indices': [195, 209]}, {'text': 'BorisJohnson', 'indices': [210, 223]}]"
"Distrito Federal, México","PM @BorisJohnson gives an important update on #coronavirus 
 
#StayHomeSaveLives



https://t.co/zqatkgYPwF","[{'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
"Calgary, Alberta, Canada",(cue requests to have @zainvelji and @carter_AB on to talk about the political fallout of COVID-19). #ableg #cdnpoli,"[{'text': 'ableg', 'indices': [101, 107]}, {'text': 'cdnpoli', 'indices': [108, 116]}]"
"Bay area, CA","Mosquitoes waking up from winter like 😂🦟 
#coronavirus #COVIDー19 https://t.co/ZUz8NooAXP","[{'text': 'coronavirus', 'indices': [42, 54]}, {'text': 'COVIDー19', 'indices': [55, 64]}]"
"Minnesota, USA","While Americans are hurting, @SenSchumer and @SpeakerPelosi are holding #coronavirus relief hostage in an effort to further their liberal agenda.

A global health crisis is not the time to play politics. We must provide American workers with the relief they desperately need.","[{'text': 'coronavirus', 'indices': [92, 104]}]"
,"""My fiance and I had to cancel our upcoming wedding due to COVID-19, so our best friends gave us a surprise Animal Crossing wedding instead""

I'M NOT CRYING! YOU'RE CRYING! 😭

Via /r/AnimalCrossing: https://t.co/k32AmMD56I #ACNH https://t.co/BEP1M0tnj9",[]
"Florida,uSA,Kingdom of Hungary","General Staff of #Iranian Armed Forces ordered Army Ground Force to prepare a hospital with 2,000 beds in #Tehran within two days for treatment of #coronavirus patients 
https://t.co/x4VZsvQPOx https://t.co/4lDEtiXQrQ","[{'text': 'Iranian', 'indices': [36, 44]}, {'text': 'Tehran', 'indices': [125, 132]}]"
"Plymouth, UK","Business must play its part in stopping #coronavirus. 

For many firms, that means shutting their doors for the next three weeks. 

Makes it all the more urgent for the financial support announced last week to be delivered quickly to firms &amp; employees.  

#StayAtHomeSaveLives","[{'text': 'coronavirus', 'indices': [53, 65]}]"
tema ghana,"I see my people out there still gathering in groups and some actually partying... I’m from Africa and I know how important socializing is to us but guys Pleeeease stay home for sometime to save yourself, your loved ones and others 🙏🏾 #COVID19",[]
,Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
DRCongo,".@MinofHealthUG’s Jane Ruth Aceng, has announced in an update that there are 8 new cases of Covid 19 in Uganda. All are Ugandan nationals. This brings the total number to 9. #MonitorUpdates",[]
glasga,"covid-19          10 fags a day

                  🤝
sudden sore throat and dry cough",[]
11:11,Just look at the YOUNGEST POSITIVE COVID-19 in Brunei. My heart just shattered looking at this adorable cute baby. May Allah SWT cure and protect her and the rest of the world 🥺 https://t.co/popVCHlG01,[]
,"This absolutely terrifies me. The fact that the money of the rich is worth more than the health and lives of the entire country is mind boggling. NEWSFLASH: You need your life to enjoy your money #StayHome #Quarantine #COVIDー19 #LockdownNow #coronavirus 

https://t.co/7oPaBl13KG https://t.co/Ut8M2xIBbg","[{'text': 'StayHome', 'indices': [196, 205]}, {'text': 'Quarantine', 'indices': [206, 217]}, {'text': 'COVIDー19', 'indices': [218, 227]}, {'text': 'LockdownNow', 'indices': [228, 240]}, {'text': 'coronavirus', 'indices': [241, 253]}]"
,"This is EVERYTHING! 
❤️🧡💛🌈💚💙💜
Two women are married on a street by a celebrant 4 stories up in the window.
❤️🧡💛🌈💚💙💜
#LoveIsLove #LGBTQ #COVID19 https://t.co/roxpIcuPdY",[]
Bat Cave ,The fact that there is no toilet paper at all everywhere you go is pretty ridiculous.... #coronavirus #COVIDー19,"[{'text': 'coronavirus', 'indices': [89, 101]}, {'text': 'COVIDー19', 'indices': [102, 111]}]"
Florida,Gov. DeSantis says anyone traveling from NY/NJ will have to go through a mandatory isolation. Hoping it will detour people who are fleeing those states. #coronavirus #COVID19 #wftv,[]
"53N, 2W ish. ","Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the reasons why, the risk, what to expect etc. Did paperwork outside and then she walked past - “I’m nipping out for a coffee and cake” GIVE ME STRENGTH 🤬🤬😠",[]
"Chicago, IL","if you won’t be affected by covid-19, this isn’t about you. it’s about the many millions of vulnerable people with weak immune systems and under-lying health conditions that will be affected. stop being selfish. stay at home.",[]
,Please enjoy Tuesday's #COVIDー19 cartoon in @TorontoStar #coronavirus https://t.co/9mjoTskt4V,"[{'text': 'COVIDー19', 'indices': [41, 50]}, {'text': 'coronavirus', 'indices': [75, 87]}]"
"New York, NY",@alward_olivia keep it up Olivia! We hope this helps you after practice. https://t.co/v3aTPG8PhR,[]
,"This just in: first responders and health-care workers can get COVID-19 testing by the Illinois National Guard on the NW Side.

https://t.co/ZX1XwUpGsF",[]
"East Africa, Uganda,Kampala, m","BREAKING: Eight new confirmed cases of #COVID19 - all Ugandan nationals 

Total confirmed cases: 9

#NTVNews","[{'text': 'COVID19', 'indices': [59, 67]}, {'text': 'NTVNews', 'indices': [120, 128]}]"
heaven,"#StayAtHomeChallenge with my partner in crime 🕵‍♂ Just having fun with whatever is around - it's proof that you don't need to head out to enjoy yourself. Stay at home, guys! ⚽🏡🔝
#stayathome #staysafe #justplaying #fun #soccer #dadandson https://t.co/JkeHs9F5lL","[{'text': 'StayAtHomeChallenge', 'indices': [14, 34]}]"
"Colchester, England. UK","Hailing fequencies, open! 😅

If any friends or family want to have a chat, I'm available 24/7 on social media.

#StayAtHomeSaveLives #coronavirus #COVID19 https://t.co/FtHuuiCS7O","[{'text': 'StayAtHomeSaveLives', 'indices': [112, 132]}, {'text': 'coronavirus', 'indices': [133, 145]}, {'text': 'COVID19', 'indices': [146, 154]}]"
,"Companies’ Expenditure to Tackle COVID-19 to be Considered as CSR Activity, Says Govt https://t.co/SYTma7RvUW https://t.co/0WW4uD1bIm",[]
,"🚨BREAKING: A man DIED &amp; his wife is in ICU after they ingested #chloroquine, one of the anti-malarials that @realDonaldTrump touted.

Chloroquine/#hydroxychloroquine have NOT been proven effective against #coronavirus &amp; can cause FATAL heart arrhythmias.
https://t.co/kagJQpkzNz","[{'text': 'chloroquine', 'indices': [86, 98]}]"
,"Ah, yes, requiring early voting will save us all from #COVID19. https://t.co/Gwg4Tcyjx5","[{'text': 'COVID19', 'indices': [72, 80]}]"
Kenya,"Just FYI, @uber_kenya's customer service is done from a call centre in India and is currently closed indefinitely due to COVID-19. So in case you need urgent help, be warned. Someone I know is in a terrible pickle and has spent 2 hours figuring out how to contact them.",[]
"North East, England","BREAK: PM announces a full UK lockdown to tackle #COVID19 

You can only leave to: 

* Travel to work but only if necessary 
* Providing care or going to a medical appointment 
* Shopping for basic necessities
* Exercising once a day

Police will have powers to enforce rules","[{'text': 'COVID19', 'indices': [65, 73]}]"
,"""If Public Health called tomorrow and told you that you had tested positive for COVID-19 and asked you to list all the places you had been and all the people you had been in contact with for the last 14 days - would you be proud of yourself, or embarrassed by your actions?”",[]
,"Just out: 

Thanks to @WHO_Europe for this timely interim guidance on how to deal with #COVID19 in #Prisons &amp; other places of #Detention. 

Please help to disseminate to appropriate authorities ASAP!

https://t.co/PbOH4j0vS8 https://t.co/vTWxSCsVe5","[{'text': 'COVID19', 'indices': [103, 111]}, {'text': 'Prisons', 'indices': [115, 123]}]"
"Kano, Nigeria",Ya Rabbi protect all Ummah’s from COVID 19 🙏😢@LMinkaeel @Yobe_update @YobeConnect https://t.co/ptTnAwIbhK,[]
"Lagos, Nigeria","Our hearts and prayers go out to everyone affected by this. We are very grateful for the thousands of brave healthcare workers who are working tirelessly to help victims around the world. 

#health #stayhome #stayhome #stayhome #covid_19 #coronavirus #ncdc https://t.co/NNxc114xT7",[]
South London,Name and Shame the Covid-19 Villains – Heartless Employers &amp; Cheats Name and Shame the Covid-19 Villains – Heartless Employers &amp; Cheats: https://t.co/em878DKDaY via @SputnikInt,[]
,This is the point of no return for intervention to prevent California's hospital system from being overloaded by Coronavirus:  https://t.co/9qBM7F6kKR #COVIDActNow @GavinNewsom @KamalaHarris @SpeakerPelosi @BLeeForCongress @ShahidForChange @CAgovernor #ActNow #Covid_19,"[{'text': 'COVIDActNow', 'indices': [151, 163]}, {'text': 'ActNow', 'indices': [252, 259]}, {'text': 'Covid_19', 'indices': [260, 269]}]"
"Gorey, Wexford, Ireland","Pence said his Covid-19 nasal swab was ""invasive"".
Pence, who tried to pass legislation forcing women to have a transvaginal ultrasound to access abortion.
Have someone stick a wand up your gee and give your cervix a twiddle without consent and come back to us on invasive, Mike.",[]
"Oklahoma, USA","Pelosi &amp; Schumer are holding our country hostage, holding up this relief package, trying to extort concessions unrelated to COVID-19.  Call them at 202 224 3121, urge them to debate, then hold a vote.",[]
"Green Bay, Wisconsin","Today our Health Officer issued new restrictions preventing visitors at long-term care facilities in #Appleton. 

The new restrictions are aimed at preventing the spread of #COVID19 to our most vulnerable residents. 

Full details: https://t.co/q7l9QXoDp2 https://t.co/0yXOFYaVU9","[{'text': 'Appleton', 'indices': [121, 130]}]"
"Florida, USA","Attention @costco shoppers! To everyone who purchased more than they needed and didn't leave enough for everyone else... You're stuck with those items!

#coronavirus #ChineseVirus #COVIDー19 #costco https://t.co/49MfQ6jYDY","[{'text': 'coronavirus', 'indices': [153, 165]}, {'text': 'ChineseVirus', 'indices': [166, 179]}, {'text': 'COVIDー19', 'indices': [180, 189]}, {'text': 'costco', 'indices': [190, 197]}]"
Pandora's Box,"IMPORTANT PSA. When should I use the term:

- COVID-19: when referring to the ongoing outbreak of the novel coronavirus

- Coronavirus: when referring to the group of virus that COVID-19 belongs to

- chinese flu: never, please lick a doorknob and shut the fuck up",[]
,"Thanks @AndreyRublev97 😉🧻

Your turn! 
@marcmarquez93 
@cesc4official 
@DjokerNole 
@Carles5puyol 

#StayHome #20TouchChallenge https://t.co/INX8OWMFnE","[{'text': 'StayHome', 'indices': [118, 127]}]"
"London, England","""I urge you at this moment of national emergency: stay at home, protect our NHS and save lives"" says Prime Minister Boris Johnson. 

Read the #coronavirus measures in more detail: https://t.co/NJpO72P7v1 https://t.co/z6Xxgp88QH",[]
,#COVID19 Important Thread by @WellReadBlkGrl: I’m a critical care registered nurse. I just got off my shift where I worked 13 hours straight with no break. I didn’t even have time to use… https://t.co/UdVaa6Ga1t,"[{'text': 'COVID19', 'indices': [0, 8]}]"
Ottawa,"As a second week of calls for physical-distancing begins due to the COVID-19 pandemic, the Distress Centre of Ottawa says anxiety has been “coming through the phone lines” of the Distress Line. #ottnews @DistressCentreO 

https://t.co/N39ZHCRLEN",[]
,"❤️  What you do makes a
difference. Please do the
right things to protect
yourself, your family and
others...    #StayHome   

#COVID19
#coronavirus
#WereAllInThisTogether 
#StayAtHomeSaveLives

 https://t.co/zm5mVlphRb",[]
San Diego,San Diego Magazine has laid off almost its entire staff and essentially closed with little hope of restarting amid the broad economic shutdown that has occurred to stem the transmission of the #coronavirus. https://t.co/TovlOTRN3x,[]
Colorado,Harvey Weinstein being diagnosed with #coronavirus is not as shocking  as the fact that he was given early access to a test that plenty non-convicted-rapists are begging for.,"[{'text': 'coronavirus', 'indices': [56, 68]}]"
,"Speaker Pelosi's #coronavirus bill includes: 

-Provisions for a federal takeover of elections
-A climate change study on aviation
-Intrusive corporate diversity reporting burdens

Seriously? Now is the time to help struggling Americans, not play swamp politics with virus aid. https://t.co/k2QDIcc8hP","[{'text': 'coronavirus', 'indices': [35, 47]}]"
DFW,"Pelosi's #COVID19 bill is 1,119 pages and contains provisions for ""conducting risk-limiting audits of results of elections"" so yeah it's really very focused on the crisis at hand.🤦🏻‍♀️ https://t.co/Q6axBi14lZ","[{'text': 'COVID19', 'indices': [27, 35]}]"
Their/They,Thoughts on the growing debate over whether COVID-19 illustrates the moral necessity of using AI and other tech for more expansive and intrusive forms of public health surveillance: a thread. 1/n https://t.co/kMQ4W3smGg,[]
,"A shipment of 800,000 #Covid_19 testing kits supplied by #China arrived in #Indonesia capital Jakarta on Monday #CoronavirusPandemic https://t.co/C7gUIn5Jxm","[{'text': 'Covid_19', 'indices': [35, 44]}, {'text': 'China', 'indices': [70, 76]}, {'text': 'Indonesia', 'indices': [88, 98]}]"
"Georgia, USA","DeKalb CEO Thurmond Issues State of Emergency Executive Order

CEO Michael Thurmond issued an executive order declaring a state of emergency in DeKalb County in response to the COVID-19 pandemic crisis. The order is effective today, March 23rd, until otherwise amended or revoked. https://t.co/sUlJTiuOpg",[]
"New Tecumseth, Ontario","Is it *really* that hard to stay home if you’re not offering essential services or stay 6 ft or 2m from people if you have to be out? If you can’t listen to these simple instructions, please stay far from me even following this crisis. You are a certified dumbass. #StayHome","[{'text': 'StayHome', 'indices': [265, 274]}]"
Sunshine State ,"Progressives directing hateful comments toward #RandPaul should educate themselves: 

He spends much of his limited time off performing volunteer eye surgeries in the world's poorest nations. 

And he did not oppose #coronavirus aid; he wanted reasonable improvements to the bill.","[{'text': 'RandPaul', 'indices': [65, 74]}]"
"Des Moines, IA",The #Quarantine isn't stopping @middleagepod - hear my latest interview with Coach Jen at @WindleyWorks - she's got an incredible story about changing careers mid life &amp; building a new business #podcast #interview https://t.co/ar8ussKOTL,"[{'text': 'Quarantine', 'indices': [22, 33]}]"
,Harvey Weinstein being diagnosed with #coronavirus is not as shocking  as the fact that he was given early access to a test that plenty non-convicted-rapists are begging for.,"[{'text': 'coronavirus', 'indices': [56, 68]}]"
"Middelburg, South Africa","[BREAKING NEWS]

President @CyrilRamaphosa has declared a 21-day lockdown as a measure to curb the spread of #CoronavirusInSA . The Lockdown is effective from Thursday midnight 26 March to Thursday 16 April 2020.

#MyNWU #Covid19 #lockDownSouthAfrica https://t.co/griHkfFFxf","[{'text': 'CoronavirusInSA', 'indices': [121, 137]}]"
Pakistan,"Reasons to be positive amidst #COVID19 #coronavirus.

📕 Read more: https://t.co/3nTcwaDCgr https://t.co/bUriwoSmLQ","[{'text': 'COVID19', 'indices': [30, 38]}, {'text': 'coronavirus', 'indices': [39, 51]}]"
Her heart,“Worryingly unprepared” —ANALYSIS | Saskatchewan government failed to order key equipment and supplies until after COVID-19 arrived | CBC News https://t.co/AWWnxXq6jQ,[]
,"Here is the COVID-19 ""leaderboard.""

Not one nation south of the Equator. https://t.co/zen8K1xLzi",[]
Texas,"I would like to challenge all the wealthy politicians (that’s almost all of them) to donate 2 months salary (@realDonaldTrump always does this)to help small business function for the 15 day moratorium. Yes @SpeakerPelosi I’m talking to YOU!
Retweet if you agree! #COVID19",[]
Buffalo New york,"Dr. Burstein "" We still have to brace for the storm, this is just the beginning."" Please do not have a false sense of security.  #WashYourHands #StayHome  This is a marathon, not a sprint.",[]
"Westerville, Ohio",@DocNikko @EM_RESUS Has anyone seen gi related issues in these pts? https://t.co/QVjSNhN6l9,[]
